size,brand,dominant_material,actual_color,product_type,body,product_details,type,variant_price,variant_compare_at_price,ideal_for,is_in_stock
XL,IMARA,Polyester,Black,Top,"Black solid woven regular top,has a V-neck, three-quarter sleeves, an attached lining
The model (height 5'8"") is wearing a size S
Improve your personal style with a brand new three-quarter sleeve top designed by IMARA.  When you want to have the perfect outfit for a fun lunch with the girls, you'll want to put this black piece with an ankle boot and tapered-leg pants.
Polyester Dry-clean","Black solid woven regular top,has a V-neck, three-quarter sleeves, an attached lining",Clothing/Women/Tops/IMARA/More by IMARA,959,1599,Women,Out of Stock
XL,House of Pataudi,cotton,Black,Straight Kurta,"Black printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits and two pockets
The model (height 6') is wearing a size M
From House of Pataudi, this kurta is a great way to show off your style.  Dress this black piece up with your favourite accessories and head out to any family event in style.
100% cottonMachine-wash","Black printed straight kurta, has a mandarin collar, long sleeves, straight hem, side slits and two pockets",Clothing/Men/Kurtas/House of Pataudi/More by House of Pataudi,799,1999,Men,In Stock
S,The White Willow,Cotton,White,,"Set content: 1 pillow  Colour: Off white  Filling: Memory foam  Type: Therapedic  Material: Polycotton  Features: Responsive Memory foam  Adapts to the unique shape of your head, neck, and shoulders for custom support and unparalleled comfort
Dimensions: 58.42 cm x 33.02 cm x 10.16 cm 
Polycotton Only spot clean by hand with warm water and mild detergent  For removing stains or odor sprinkle baking powder on the pillows and dust them off with a clean dry cloth,
The White Willow has been founded with the vision to redefine luxury and comfort, and change the way the world sleeps. We offer an exclusive range of Luxury Home products- Bed Pillows, Decorative Cushions &amp; Speciality Support Pillows. Our premium pillows are affordable and easily accessible to all.","Set content: 1 pillow  Colour: Off white  Filling: Memory foam  Type: Therapedic  Material: Polycotton  Features: Responsive Memory foam  Adapts to the unique shape of your head, neck, and shoulders for custom support and unparalleled comfort",Home/Unisex/Pillows/The White Willow/More by The White Willow,1399,2799,Unisex,In Stock
Onesize,Dupatta Bazaar,Chiffon,Pink,Dupatta,"Pink dupatta&nbsp;with crinkled effect
Length: 2.3 metres Width: 1.1 metres
Chiffon Hand-wash
Complement your ethnic ensemble with this dupatta from&nbsp;Dupatta Bazaar. Team it with a kurta, leggings and heels for an elegant look.",Pink dupatta&nbsp;with crinkled effect,Clothing/Women/Dupatta/Dupatta Bazaar/More by Dupatta Bazaar,349,499,Women,In Stock
S,Manyavar,Silk,Yellow | White,Kurta with Churidar,"Yellow and white self design kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid churidar, drawstring closureÂ 
The model (height 6') is wearing a size M
From Manyavar, this kurta is a great way to show off your style.  This yellow piece is a great option for any evening event when combined with your favourite trousers or jeans.
Top fabric: Silk Blend Bottom fabric: Silk Blend Dry-clean","Yellow and white self design kurta with churidarYellow straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slitsWhite solid churidar, drawstring closureÂ ",Clothing/Men/Kurta Sets/Manyavar/More by Manyavar,2999,2999,Men,Out of Stock
L,Wintage,Linen,Beige,Kurta with Pyjamas,"Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Whitesolid pyjamas, drawstring closure
The model (height 6') is wearing a size M
From Wintage, this kurta is a great way to show off your style.  Dress this beige piece up with your favourite accessories and head out to any family event in style.
Kurta fabric: linen Bottom fabric: pure cotton Dry-clean","Beige solid kurta with pyjamas Beige straight knee length kurta, has a mandarin collar, long sleeves, straight hem, side slits Whitesolid pyjamas, drawstring closure",Clothing/Men/Kurta Sets/Wintage/More by Wintage,979,1399,Men,Out of Stock
34,Geroo Jaipur,,Green,,"Green coloured free-size dabu print cotton skirt for women with drawstring closure and an elastic belt on the top Embelished with tissue border and magzi
The model is 5.8 and is wearing size 28
Look simply gorgeous in family get together or home events with this hand block printed jaipuri Cotton skirts by geroo. Made from cotton, this skirt features a drawstring closure with elastic belt on the top which gives this skirt a happy relaxed factor and flexibility. The skirt has big flair and is embelished with tissue border and magzi which gives it a dressy and rich look
First wash dry clean than after hand wash",Green coloured free-size dabu print cotton skirt for women with drawstring closure and an elastic belt on the top Embelished with tissue border and magzi,Clothing/Women/Skirts/Geroo Jaipur/More by Geroo Jaipur,1572,1850,Women,Out of Stock
XL,The Indian Garage Co,Cotton,Blue | White,A-Line Kurta,"Blue and white printed A-line kurta, has a mandarin collar, long sleeves, zip closure, shoulder tabs, curved hem, side slits
The model (height 6') is wearing a size M
Cotton  Machine-wash
From The Indian Garage Co, this kurta is a great way to show off your style.  You'll look dapper as ever in this blue piece paired with slim jeans and sandals, ideal for any nice family gathering.","Blue and white printed A-line kurta, has a mandarin collar, long sleeves, zip closure, shoulder tabs, curved hem, side slits",Clothing/Men/Kurtas/The Indian Garage Co/More by The Indian Garage Co,479,1199,Men,In Stock
XS,Anouk,Polyester,Maroon,A-Line Kurta,"Maroon solid A-line kurta, has a round neck, three-quarter sleeves, flared hem
The model (height 5'8"") is wearing a size S
Keep it classy all year long with a stylish kurta from Anouk.  Dress up for your next family event by pairing this maroon piece with your best Kolhapuris and simple jewellery.
Polyester  Dry-clean","Maroon solid A-line kurta, has a round neck, three-quarter sleeves, flared hem",Clothing/Women/Kurtas/Anouk/More by Anouk,1359,3399,Women,In Stock
3-4Y,SALWAR STUDIO,Cotton,White | Orange,Kurta with Pyjamas,"Orange and white printed kurta with pyjamas Orange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure &nbsp;
This kurta pyjama set from SALWAR STUDIOis a must-have in your little boy's wardrobe. Let him team&nbsp;this piece with a pair of juttis to complete the look.
Top fabric: Pure Cotton Bottom fabric: Pure Cotton Hand-wash","Orange and white printed kurta with pyjamas Orange straight above knee kurta, has a mandarin collar, long sleeves, straight hem, side slits White solid pyjamas, slip-on closure &nbsp;",Clothing/Boys/Kurta Sets/SALWAR STUDIO/More by SALWAR STUDIO,586,1955,Boys,Out of Stock
